modules,params_per_module,head_series,max_scrape_s,modules_up,memory_bytes,host_avail_gb
316,2785,882209,0.03087268,316,1420939264,104
158,5570,881419,0.071116554,158,1382723584,106
79,11140,881024,0.144121672,79,1488510976,108
40,22001,880809,0.22035545,40,1558749184,108
20,44003,880729,0.369493916,20,1512493056,108
8,110009,880681,0.928023923,8,1765523456,108
