params,params_per_module,head_series,max_scrape_s,modules_up,memory_bytes,host_avail_gb
880000,2784,881893,0.032440141,316,1472720896,104
1000000,3164,1001973,0.039500624,316,1669033984,104
1500000,4746,1501885,0.060192506,316,2304143360,103
2000000,6329,2002113,0.26991824,316,2963218432,102
2500000,7911,2056620,0.065860947,15,2560692224,102
